code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,edit,flip,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,376,0.0031522468,,,,
K3_R1_2,edit,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,803,0.006732059,,,,
K3_R1_2,edit,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,1375,0.011527498,,,,
K3_R1_2,edit,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,1873,0.015702549,,,,
K3_R1_2,edit,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,2583,0.02165493,,,,
K3_R1_2,edit,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,3259,0.027322267,,,,
K3_R1_2,edit,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,4745,0.039780349,,,,
K3_R1_2,edit,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,6406,0.053705567,,,,
K3_R1_2,edit,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,7880,0.066063045,,,,
K3_R1_2,edit,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,9818,0.08231053,,,,
K3_R1_2,edit,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,11414,0.095690812,,,,
K3_R1_2,edit,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,12939,0.10847586,,,,
K3_R1_2,edit,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,14851,0.12450537,,,,
K3_R1_2,edit,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,17430,0.14612676,,,,
K3_R1_2,edit,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,19283,0.16166164,,,,
K3_R1_2,edit,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,20940,0.17555332,,,,
K3_R1_2,edit,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,22301,0.18696345,,,,
K3_R1_2,edit,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,25367,0.21266767,,,,
K3_R1_2,edit,flip,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,26822,0.22486586,,,,
K3_R1_2,edit,flip,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,28732,0.2408786,,,,
K3_R1_2,edit,flip,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,30495,0.25565895,,,,
K3_R1_2,edit,flip,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,32844,0.27535211,,,,
K3_R1_2,edit,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,33200,0.27833669,,,,
K3_R1_2,edit,flip,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,35524,0.29782025,,,,
K3_R1_2,edit,flip,0.1733,0.01,0.01,0.01,0.01,24,8,30,119280,35624,0.29865862,,,,
K3_R1_2,edit,flip,0.1867,0.01,0.01,0.01,0.01,24,8,30,119280,36356,0.30479544,,,,
K3_R1_2,edit,flip,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,36693,0.30762072,,,,
K3_R1_2,edit,flip,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,37270,0.31245808,,,,
K3_R1_2,edit,flip,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,37825,0.317111,,,,
K3_R1_2,edit,flip,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,37619,0.31538397,,,,
K3_R1_2,edit,insert,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.0017,0.01,0.01,0.01,0.01,24,8,30,119280,409,0.0034289068,,,,
K3_R1_2,edit,insert,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,837,0.0070171026,,,,
K3_R1_2,edit,insert,0.005,0.01,0.01,0.01,0.01,24,8,30,119280,1270,0.010647217,,,,
K3_R1_2,edit,insert,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,1754,0.014704896,,,,
K3_R1_2,edit,insert,0.0083,0.01,0.01,0.01,0.01,24,8,30,119280,2219,0.018603286,,,,
K3_R1_2,edit,insert,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,2687,0.022526828,,,,
K3_R1_2,edit,insert,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,3882,0.032545272,,,,
K3_R1_2,edit,insert,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,5005,0.041960094,,,,
K3_R1_2,edit,insert,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,6099,0.051131791,,,,
K3_R1_2,edit,insert,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,8049,0.067479879,,,,
K3_R1_2,edit,insert,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,9640,0.080818243,,,,
K3_R1_2,edit,insert,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,11028,0.092454728,,,,
K3_R1_2,edit,insert,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,12565,0.10534038,,,,
K3_R1_2,edit,insert,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,14718,0.12339034,,,,
K3_R1_2,edit,insert,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,16034,0.13442321,,,,
K3_R1_2,edit,insert,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,17972,0.15067069,,,,
K3_R1_2,edit,insert,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,20512,0.17196512,,,,
K3_R1_2,edit,insert,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,23295,0.19529678,,,,
K3_R1_2,edit,insert,0.08,0.01,0.01,0.01,0.01,24,8,30,119280,25908,0.21720322,,,,
K3_R1_2,edit,insert,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,28059,0.23523642,,,,
K3_R1_2,edit,insert,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,30320,0.25419182,,,,
K3_R1_2,edit,insert,0.1133,0.01,0.01,0.01,0.01,24,8,30,119280,32499,0.27245976,,,,
K3_R1_2,edit,insert,0.1267,0.01,0.01,0.01,0.01,24,8,30,119280,34355,0.28801979,,,,
K3_R1_2,edit,insert,0.14,0.01,0.01,0.01,0.01,24,8,30,119280,35871,0.30072938,,,,
K3_R1_2,edit,insert,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,37031,0.31045439,,,,
K3_R1_2,edit,insert,0.18,0.01,0.01,0.01,0.01,24,8,30,119280,38153,0.31986083,,,,
K3_R1_2,edit,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,38418,0.32208249,,,,
K3_R1_2,edit,insert,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,38649,0.32401911,,,,
K3_R1_2,edit,insert,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,39254,0.32909121,,,,
K3_R1_2,edit,insert,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,39139,0.3281271,,,,
K3_R1_2,edit,delete,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,111,0.0009305835,,,,
K3_R1_2,edit,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,489,0.0040995976,,,,
K3_R1_2,edit,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,1127,0.0094483568,,,,
K3_R1_2,edit,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,1307,0.010957411,,,,
K3_R1_2,edit,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,2171,0.018200872,,,,
K3_R1_2,edit,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,2990,0.025067069,,,,
K3_R1_2,edit,delete,0.0233,0.01,0.01,0.01,0.01,24,8,30,119280,3378,0.02831992,,,,
K3_R1_2,edit,delete,0.0267,0.01,0.01,0.01,0.01,24,8,30,119280,4833,0.040518109,,,,
K3_R1_2,edit,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,5670,0.047535211,,,,
K3_R1_2,edit,delete,0.0367,0.01,0.01,0.01,0.01,24,8,30,119280,7374,0.061820926,,,,
K3_R1_2,edit,delete,0.0433,0.01,0.01,0.01,0.01,24,8,30,119280,9406,0.078856472,,,,
K3_R1_2,edit,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,11230,0.094148223,,,,
K3_R1_2,edit,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,12430,0.10420858,,,,
K3_R1_2,edit,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,14118,0.11836016,,,,
K3_R1_2,edit,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,15448,0.1295104,,,,
K3_R1_2,edit,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,17352,0.14547284,,,,
K3_R1_2,edit,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,18333,0.15369718,,,,
K3_R1_2,edit,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,19829,0.1662391,,,,
K3_R1_2,edit,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,21911,0.18369383,,,,
