code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,edit,flip,0.0133,0.0133,0,0,0,24,0,30,119280,9,7.5452716e-05,,,,
K3_R1_2,edit,flip,0.0267,0.0267,0,0,0,24,0,30,119280,89,0.00074614353,,,,
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.0467,0.0467,0,0,0,24,0,30,119280,743,0.0062290409,,,,
K3_R1_2,edit,flip,0.04,0.04,0,0,0,24,0,30,119280,420,0.0035211268,,,,
K3_R1_2,edit,flip,0.0533,0.0533,0,0,0,24,0,30,119280,1070,0.0089704896,,,,
K3_R1_2,edit,flip,0.06,0.06,0,0,0,24,0,30,119280,1486,0.012458082,,,,
K3_R1_2,edit,flip,0.0667,0.0667,0,0,0,24,0,30,119280,1906,0.015979209,,,,
K3_R1_2,edit,flip,0.0733,0.0733,0,0,0,24,0,30,119280,2731,0.022895708,,,,
K3_R1_2,edit,flip,0.08,0.08,0,0,0,24,0,30,119280,3566,0.029896043,,,,
K3_R1_2,edit,flip,0.0867,0.0867,0,0,0,24,0,30,119280,4255,0.035672368,,,,
K3_R1_2,edit,flip,0.0933,0.0933,0,0,0,24,0,30,119280,5282,0.044282361,,,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,6368,0.053386989,,,,
K3_R1_2,edit,flip,0.11,0.11,0,0,0,24,0,30,119280,7697,0.06452884,,,,
K3_R1_2,edit,flip,0.12,0.12,0,0,0,24,0,30,119280,10296,0.086317907,,,,
K3_R1_2,edit,flip,0.13,0.13,0,0,0,24,0,30,119280,11686,0.09797116,,,,
K3_R1_2,edit,flip,0.14,0.14,0,0,0,24,0,30,119280,13722,0.11504024,,,,
K3_R1_2,edit,flip,0.15,0.15,0,0,0,24,0,30,119280,15290,0.12818578,,,,
K3_R1_2,edit,flip,0.16,0.16,0,0,0,24,0,30,119280,17551,0.14714118,,,,
K3_R1_2,edit,flip,0.1733,0.1733,0,0,0,24,0,30,119280,20555,0.17232562,,,,
K3_R1_2,edit,flip,0.1867,0.1867,0,0,0,24,0,30,119280,22611,0.18956237,,,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,24439,0.20488766,,,,
K3_R1_2,edit,flip,0.2167,0.2167,0,0,0,24,0,30,119280,26931,0.22577968,,,,
K3_R1_2,edit,flip,0.2333,0.2333,0,0,0,24,0,30,119280,28352,0.23769282,,,,
K3_R1_2,edit,flip,0.25,0.25,0,0,0,24,0,30,119280,30156,0.2528169,,,,
K3_R1_2,edit,flip,0.2733,0.2733,0,0,0,24,0,30,119280,31886,0.26732059,,,,
K3_R1_2,edit,flip,0.2967,0.2967,0,0,0,24,0,30,119280,32860,0.27548625,,,,
K3_R1_2,edit,flip,0.32,0.32,0,0,0,24,0,30,119280,33663,0.28221831,,,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.0133,0.005,0.0133,0.001,0,24,8,30,119280,2646,0.022183099,,,,
K3_R1_2,edit,insert,0.0267,0.005,0.0267,0.001,0,24,8,30,119280,4474,0.037508384,,,,
K3_R1_2,edit,insert,0.04,0.005,0.04,0.001,0,24,8,30,119280,5110,0.042840376,,,,
K3_R1_2,edit,insert,0.0467,0.005,0.0467,0.001,0,24,8,30,119280,6865,0.057553655,,,,
K3_R1_2,edit,insert,0.0533,0.005,0.0533,0.001,0,24,8,30,119280,3550,0.029761905,,,,
K3_R1_2,edit,insert,0.06,0.005,0.06,0.001,0,24,8,30,119280,3417,0.028646881,,,,
K3_R1_2,edit,insert,0.0667,0.005,0.0667,0.001,0,24,8,30,119280,3986,0.03341717,,,,
K3_R1_2,edit,insert,0.0733,0.005,0.0733,0.001,0,24,8,30,119280,26424,0.22152918,,,,
K3_R1_2,edit,insert,0.08,0.005,0.08,0.001,0,24,8,30,119280,27534,0.23083501,,,,
K3_R1_2,edit,insert,0.09,0.005,0.09,0.001,0,24,8,30,119280,30073,0.25212106,,,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,28254,0.23687123,,,,
K3_R1_2,edit,insert,0.11,0.005,0.11,0.001,0,24,8,30,119280,26250,0.22007042,,,,
K3_R1_2,edit,insert,0.12,0.005,0.12,0.001,0,24,8,30,119280,26421,0.22150402,,,,
K3_R1_2,edit,insert,0.13,0.005,0.13,0.001,0,24,8,30,119280,21416,0.17954393,,,,
K3_R1_2,edit,insert,0.14,0.005,0.14,0.001,0,24,8,30,119280,20973,0.17582998,,,,
K3_R1_2,edit,insert,0.1533,0.005,0.1533,0.001,0,24,8,30,119280,23499,0.19700704,,,,
K3_R1_2,edit,insert,0.1667,0.005,0.1667,0.001,0,24,8,30,119280,24879,0.20857646,,,,
K3_R1_2,edit,insert,0.18,0.005,0.18,0.001,0,24,8,30,119280,20218,0.16950034,,,,
K3_R1_2,edit,insert,0.1933,0.005,0.1933,0.001,0,24,8,30,119280,17777,0.14903588,,,,
K3_R1_2,edit,insert,0.2067,0.005,0.2067,0.001,0,24,8,30,119280,19396,0.16260899,,,,
K3_R1_2,edit,insert,0.22,0.005,0.22,0.001,0,24,8,30,119280,20904,0.17525151,,,,
K3_R1_2,edit,insert,0.2367,0.005,0.2367,0.001,0,24,8,30,119280,22609,0.18954561,,,,
K3_R1_2,edit,insert,0.2533,0.005,0.2533,0.001,0,24,8,30,119280,24691,0.20700034,,,,
K3_R1_2,edit,insert,0.27,0.005,0.27,0.001,0,24,8,30,119280,25141,0.21077297,,,,
K3_R1_2,edit,insert,0.2867,0.005,0.2867,0.001,0,24,8,30,119280,28229,0.23666164,,,,
K3_R1_2,edit,insert,0.3033,0.005,0.3033,0.001,0,24,8,30,119280,31503,0.26410966,,,,
K3_R1_2,edit,insert,0.32,0.005,0.32,0.001,0,24,8,30,119280,31916,0.2675721,,,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.0067,0.005,0.001,0.0067,0,24,8,30,119280,346,0.0029007378,,,,
K3_R1_2,edit,delete,0.0133,0.005,0.001,0.0133,0,24,8,30,119280,1407,0.011795775,,,,
K3_R1_2,edit,delete,0.02,0.005,0.001,0.02,0,24,8,30,119280,2512,0.021059691,,,,
K3_R1_2,edit,delete,0.0267,0.005,0.001,0.0267,0,24,8,30,119280,3567,0.029904427,,,,
K3_R1_2,edit,delete,0.0333,0.005,0.001,0.0333,0,24,8,30,119280,7837,0.065702549,,,,
K3_R1_2,edit,delete,0.04,0.005,0.001,0.04,0,24,8,30,119280,12978,0.10880282,,,,
K3_R1_2,edit,delete,0.0467,0.005,0.001,0.0467,0,24,8,30,119280,18847,0.15800637,,,,
K3_R1_2,edit,delete,0.0533,0.005,0.001,0.0533,0,24,8,30,119280,24011,0.20129946,,,,
K3_R1_2,edit,delete,0.06,0.005,0.001,0.06,0,24,8,30,119280,26077,0.21862005,,,,
K3_R1_2,edit,delete,0.0667,0.005,0.001,0.0667,0,24,8,30,119280,16425,0.13770121,,,,
K3_R1_2,edit,delete,0.0733,0.005,0.001,0.0733,0,24,8,30,119280,20955,0.17567907,,,,
K3_R1_2,edit,delete,0.08,0.005,0.001,0.08,0,24,8,30,119280,23842,0.19988263,,,,
K3_R1_2,edit,delete,0.09,0.005,0.001,0.09,0,24,8,30,119280,25387,0.21283535,,,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,30,119280,7092,0.05945674,,,,
K3_R1_2,edit,delete,0.11,0.005,0.001,0.11,0,24,8,30,119280,8954,0.075067069,,,,
K3_R1_2,edit,delete,0.12,0.005,0.001,0.12,0,24,8,30,119280,10486,0.087910798,,,,
K3_R1_2,edit,delete,0.13,0.005,0.001,0.13,0,24,8,30,119280,12360,0.10362173,,,,
